# curie_map:
#   akn: http://docs.oasis-open.org/legaldocml/ns/akn/3.0/
#   eli: http://data.europa.eu/eli/ontology#
#   fedlex: http://fedlex.admin.ch/
#   jolux: http://data.legilux.public.lu/resource/ontology/jolux#
#   laws: https://ld.ech.ch/schema/0296/laws/
#   linkml: https://w3id.org/linkml/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   xsd: http://www.w3.org/2001/XMLSchema#
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://ld.ech.ch/schema/0296/laws/mappings
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	subject_type
laws:original_ref	skos:exactMatch	akn:original	semapv:ManualMappingCuration	original_ref	original	owl object property
laws:component_refs	skos:exactMatch	akn:componentRef	semapv:ManualMappingCuration	component_refs	componentRef	owl object property
laws:citation_list	skos:exactMatch	akn:citation	semapv:ManualMappingCuration	citation_list	citation	owl object property
laws:active_refs	skos:exactMatch	akn:activeRef	semapv:ManualMappingCuration	active_refs	activeRef	owl object property
laws:mod_sources	skos:exactMatch	akn:source	semapv:ManualMappingCuration	mod_sources	source	owl object property
laws:mod_destinations	skos:exactMatch	akn:destination	semapv:ManualMappingCuration	mod_destinations	destination	owl object property
laws:mod_old	skos:exactMatch	akn:old	semapv:ManualMappingCuration	mod_old	old	owl object property
laws:mod_new	skos:exactMatch	akn:new	semapv:ManualMappingCuration	mod_new	new	owl object property
laws:active_modifications	skos:exactMatch	akn:activeModifications	semapv:ManualMappingCuration	active_modifications	activeModifications	owl object property
laws:passive_modifications	skos:exactMatch	akn:passiveModifications	semapv:ManualMappingCuration	passive_modifications	passiveModifications	owl object property
laws:temporal_groups	skos:exactMatch	akn:temporalGroup	semapv:ManualMappingCuration	temporal_groups	temporalGroup	owl object property
laws:time_intervals	skos:exactMatch	akn:timeInterval	semapv:ManualMappingCuration	time_intervals	timeInterval	owl object property
laws:analysis_ref	skos:exactMatch	akn:analysis	semapv:ManualMappingCuration	analysis_ref	analysis	owl object property
laws:temporal_data_ref	skos:exactMatch	akn:temporalData	semapv:ManualMappingCuration	temporal_data_ref	temporalData	owl object property
jolux:dateDocument	skos:exactMatch	eli:date_document	semapv:ManualMappingCuration	jolux:dateDocument	date_document	skos concept
jolux:dateEntryInForce	skos:exactMatch	eli:first_date_entry_in_force	semapv:ManualMappingCuration	jolux:dateEntryInForce	first_date_entry_in_force	skos concept
jolux:dateApplicability	skos:exactMatch	eli:date_applicability	semapv:ManualMappingCuration	jolux:dateApplicability	date_applicability	skos concept
